Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Australia,163492908262.68402,237538204627.19803,297653383234.862,335050072090.336,361087911106.89197,384472259904.33,381655551856.044,429195320484.744,469969457409.13293,509477112363.576,579559477041.6581,638342858033.3619,603453451445.928,601932087527.622,,,,,,,
Austria,232885053623.9692,253360254661.49997,241954220747.025,255416384874.94434,258293617482.476,219515776447.6848,228710957072.80588,237298411037.9984,248631411293.369,232862988102.2512,271403662015.392,300635782179.8123,285822855925.9866,301629289921.73944,,,,,,,
Belgium,413015289741.5379,466397318299.2332,443437777436.02264,469650301099.74896,484379730676.8399,409528143135.8975,422813733340.9056,435710355913.6051,461052834564.642,444668446844.8643,494548377490.871,541029479549.54333,512488284272.4414,562427442415.3888,,,,,,,
Canada,712783722340.8859,806186425300.1019,827812276092.136,786448498375.12,732665987508.5751,671887984546.689,655171629669.093,680858253818.211,684082434703.212,681573727546.6371,1003432776329.1521,1136186853414.951,1091709555742.636,1069487752083.641,,,,,,,
Chile,18682290277.45338,27971107500.5615,31880309865.167496,35462354887.590004,38985408236.0605,42124863848.86,52613052945.525,65314946887.906,76325528437.6364,78836763851.93349,82259055267.8688,114929400602.2145,114187128200.8522,132244949497.3805,,,,,,,
Colombia,84571008337.5541,97438567104.80159,101303814597.9307,112982726211.84981,125371260416.90529,109470486737.6136,105668912875.776,119420709707.3459,138231587774.2034,131405030050.16321,141600218567.9952,162282816990.54,167598383265.63898,160746377472.8836,,,,,,,
Costa Rica,10576229257.9908,12616525966.811802,15942132567.669369,17878711629.964523,19495905687.179417,22449688587.349785,25764025575.34112,28310471710.929256,32199005881.558136,36126770043.94854,41761344725.74988,44006509148.39979,43670509593.51111,52913801901.3247,,,,,,,
Czech Republic,73161889912.9237,86217937727.12338,87350421177.2052,89161167229.94879,83160579826.3596,71145119680.2108,70806985163.11969,75189493246.0028,81597319031.08241,79490928293.3652,97757883988.855,126737258439.77399,138068137886.3415,,,,,,,,
Denmark,123024079305.2562,141269275979.496,130634975874.7044,132821588253.5178,135534468431.4621,101114418061.0932,96009551254.2946,97274939132.0658,97623485085.2895,91546498945.6451,123568300593.14731,116432332718.4576,91538244541.1496,90663466240.564,,,,,,,
Estonia,656546864.2319132,766864380.4402685,2534149321.7583804,2814840798.4813657,3062623515.2870917,2559387299.11115,2684581921.5494757,2746066795.8086047,2909855164.660336,3095917091.312458,5858249090.257835,6639747878.974885,7261166012.63224,8253659964.309898,,,,,,,
Finland,124999372723.52899,142885454808.47192,148458365535.456,163660018136.1916,176275566870.7286,159357080556.1911,162424761234.08002,167648669794.684,177585151729.952,173231683729.14603,201793915251.0,213561219443.0479,206011428447.04022,224087274885.6136,,,,,,,
France,1835317497887.21,2031119871782.178,1963627007916.1118,2142125205076.88,2217453396254.7,1908688089939.72,1952264138125.7068,2069128800271.953,2248241868558.132,2214976014292.335,2468751461782.793,2739319483790.694,2584229598449.46,2816990097295.047,,,,,,,
Germany,1808404092192.285,1912541379267.8938,1822175786516.7,1886517234163.419,1894515072012.8,1552091633814.108,1541154314262.0361,1568156114145.8801,1606741251717.1892,1494828044363.7,1767057977229.1382,2018588694361.3599,1907361633699.7598,2031661708177.04,,,,,,,
Greece,450049770784.866,512628969215.748,387379812218.209,422757852668.316,427776527633.84,354487862511.566,361151131508.442,372327519708.282,426399915404.371,402536545322.868,433721509515.442,467082221103.36,424027503327.467,449325226015.416,,,,,,,
Hungary,99193599498.4775,107453411922.6384,95076545712.2796,101192312444.7168,105852007489.66699,92336722686.6434,94326631066.75499,102130015567.6272,111121144896.24539,106928021650.59,123344620416.77489,136963324316.314,127843557918.03,148363601020.3433,,,,,,,
Iceland,17877123217.67274,20651437041.97523,19413145584.291706,19379904221.82866,20521245864.57375,16695469681.21005,16956657453.490526,17147796890.22504,16110132886.376389,15737710795.520742,16171634801.824457,18522471120.753147,18426745090.798584,19052391535.10709,,,,,,,
Ireland,199034366215.612,272774751755.476,278126168497.782,294560921806.064,280591361608.509,232862229628.7904,231331927931.2053,238089705217.13684,274000358591.31317,258258026985.30002,278800051334.0456,313073393526.6693,269078041363.252,274620190348.9265,,,,,,,
Italy,2403112897518.48,2598361798118.58,2505618974638.8003,2707055994408.7104,2808233535762.96,2390074215858.1895,2440420993362.8003,2544089197123.68,2724481117809.3604,2617999113898.79,2858460738620.96,3084561312637.1997,2831722525512.0,3030220526216.7603,,,,,,,
Japan,9029252508519.0,10493639700293.75,11084656046262.72,9552515363210.91,9129745077824.701,8367478340482.38,9662864012428.0,9430771658729.48,9699748790554.16,10106079712359.14,10389211686713.36,10790511698976.42,9152929432977.648,8645013602094.381,,,,,,,
Korea,323227147912.13,363461509951.796,377261851279.9,423750122598.62897,477755848146.171,492063463111.644,509921297377.856,554728504871.673,592456300741.9719,599814902453.704,694079712351.841,820925317012.1741,800189570166.72,836738537411.709,,,,,,,
Latvia,9148015710.014826,9980112045.384586,9727974165.381947,10370785905.836456,11549571072.772577,9018667222.948454,10369924814.41274,10563984454.924616,11628758762.991495,11703473775.739073,13811993897.056988,17471725188.51627,16606662356.921516,18498992051.70517,,,,,,,
Lithuania,12327911895.12444,14673016026.781443,15698356950.424015,16558996109.163847,18171249827.579754,16507403888.578634,16071796010.066399,18102932055.12461,17702230897.29634,19223412450.490334,26027893529.960644,28512354827.42719,26472017161.377213,30058536405.177433,,,,,,,
Luxembourg,6936152051.546184,7282720728.39509,8006792332.527232,9671373095.727745,9939847092.683083,8301345398.175388,7971358229.057146,10403005154.008299,11202291581.397161,11887145602.590904,14393605348.357157,17664902001.87061,17132153599.31827,,,,,,,,
Mexico,284498772955.142,326484489080.085,338129705128.659,392034797642.95197,429045986152.81903,409827437728.371,399052563568.63104,408008278342.94403,432119878068.49,458090806587.534,451655980218.186,529133109228.751,578163890032.7471,715137160881.168,,,,,,,
New Zealand,43482967683.139595,58436206972.225,62957797037.4402,66009278404.76401,68810785257.2746,60897015353.6952,63041777333.1138,64298940923.1307,59528827713.8839,67790959212.7557,92091567364.0464,120571870359.08281,116311968217.2234,115426235160.21759,,,,,,,
Norway,108078882966.27238,99456120662.192,106101318436.6229,102816078699.58919,77035555113.4832,59871977685.504005,61383051049.2005,63112611583.416,64416813857.0733,58025606878.283195,67754201921.41441,75964280424.94,76269107826.78809,67046439510.509605,,,,,,,
Poland,233944925107.50403,261990345717.8539,245208614286.98083,266389218621.344,248643411036.1404,222761141217.3834,237157020064.352,247411076656.37518,266834230036.2883,256332733926.14078,284461906863.72504,298064980425.031,280844399534.6154,320748165095.3825,,,,,,,
Portugal,232277752248.6268,274825635913.101,277393336280.904,296978894699.883,307179809198.83203,262799677727.765,274262375748.12997,284384905408.401,301754641739.27905,286973603940.736,318628456118.011,330183346530.72,301335238261.572,303629657039.548,,,,,,,
Slovak Republic,41898316111.265526,48277431905.60038,54726060798.952965,57188199646.92977,57893719711.084206,49908697792.71009,51595431514.98893,53681384526.153015,58021978653.623604,55850832661.0737,69627724748.03009,80106597128.1648,75578162204.57579,81717826862.3376,,,,,,,
Slovenia,15619851210.175194,20940236416.114742,21440207607.54817,28881578096.142338,34227492266.201958,29987129762.249176,29710023002.04954,32175490664.907623,34150466501.9238,31692081698.212894,38943957485.70311,42223088633.059296,39762751696.24226,43652212813.489975,,,,,,,
Spain,733738663057.2861,872313225058.695,1031466752372.4989,1198182765485.779,1265612357006.136,1099621348704.072,1125279475229.724,1193585995899.675,1287629949149.432,1234753147306.0,1390745680909.5999,1530395461073.1602,1459939454644.0,1589282181439.6052,,,,,,,
Sweden,201711145566.8688,226731853687.2984,222493966526.0282,251751955421.10718,264286301628.483,223045750278.46777,220396014364.4148,221589787674.7696,220637909981.61118,194309140134.81192,229531706316.79922,247397359261.44647,213123531012.544,188415735741.31204,,,,,,,
Switzerland,99880928952.4332,117362750666.74399,112421848311.59799,113089616205.632,111889693417.46419,102077857881.6162,94305859440.15599,98557119108.604,93010473745.3242,88513267478.3731,102806086906.13548,110070718179.749,114713475042.85469,130177753414.21199,,,,,,,
Turkey,315497983536.2256,309900759243.744,296715343008.2784,307911957459.0808,279874575424.9075,249354381218.91437,251628521945.63,240258095864.7428,221009334395.71878,234243312033.0664,258660282072.1064,310473626029.02954,243849972814.3446,286691420014.65,,,,,,,
United Kingdom,1861454247470.188,2143681386371.524,2261225738024.105,2350645266332.515,2640479987180.376,2544327941532.147,2333401011030.744,2295418703209.06,2448549545145.608,2414865900528.468,2826590910322.3794,3280690992593.12,3108487870649.62,3398669388620.55,,,,,,,
United States,11083178411740.201,12250158367660.92,13456878395574.602,14339920237847.521,15079864589809.39,15822925000402.002,16705321000215.36,17332945000887.66,18677436394315.953,19917221715852.0,24996058923696.4,26597559601164.402,28313245648262.297,31118359724761.4,,,,,,,
Netherlands,505511745000.0,563407997000.0,559846118000.0,598435504000.0,612157203000.0,501906368000.0,493444516000.0,483493379999.99994,487180616000.0,451446858000.0,510110867000.00006,545160990000.0,524316540000.0,520616360000.0,,,,,,,
